,hr,rr,ecg,gsr,temperature
1602587566.7015,63.0,979.0,147.0,424.9999999999392,34.31
1602587566.7035,63.0,979.0,-346.0,424.9999999999392,34.31
1602587566.7055,63.0,979.0,-147.0,424.9999999999392,34.31
1602587566.7075,63.0,979.0,164.0,424.9999999999392,34.31
1602587566.7095,63.0,979.0,145.0,424.9999999999392,34.31
1602587566.7115,63.0,979.0,150.0,424.9999999999392,34.31
1602587566.7135,63.0,979.0,227.0,424.9999999999392,34.31
1602587566.7155,63.0,979.0,206.0,424.9999999999392,34.31
1602587566.7175,63.0,979.0,172.0,424.9999999999392,34.31
1602587566.7195,63.0,979.0,186.0,424.9999999999392,34.31
1602587566.7215,63.0,979.0,196.0,424.9999999999392,34.31
1602587566.7235,63.0,979.0,194.0,424.9999999999392,34.31
